name,city,address,email,phone,website,logo
Canby United Soccer Association,Canby,"PO Box 861, Canby, OR 97013",,,https://www.canbysoccer.org,canby-united-soccer-association.png
Clackamas United Soccer Club,Clackamas,"12042 SE Sunnyside Rd., Clackamas, OR 97015",,,http://www.clackamasunited.com,clackamas-united-soccer-club.png
Colton Youth Soccer,Colton,"PO Box 553, Colton, OR 97017",michelleyoung@coltonjrvikings.com,,https://clubs.bluesombrero.com/Default.aspx?tabid=1333762,colton-youth-soccer.png
Country Christian Soccer,Molalla,"16975 Hwy 211, Molalla, OR 97038",chillhouse17@gmail.com,,,country-christian-soccer.png
Estacada Youth Soccer Association,Estacada,"PO Box 832, Estacada, OR 97023",publicity@estacadayouthsoccer.com,,http://www.estacadayouthsoccer.com,estacada-youth-soccer-association.png
Gladstone Soccer Association,Gladstone,"PO Box 324, Gladstone, OR 97027",president@gladstonesoccer.com,,https://www.gladstonesoccer.com,gladstone-soccer-association.png
Lake Oswego Soccer Club,Lake Oswego,"530 1st St., Lake Oswego, OR 97034",,,https://www.losc.org,lake-oswego-soccer-club.png
Molalla Youth Sports,Molalla,"PO Box 823, Molalla, OR 97038",,,https://www.myssports.com,molalla-youth-sports.png
North Clackamas Soccer Club,Oak Grove,"PO Box 68884, Oak Grove, OR 97268",,,https://www.ncsoccerclub.com,north-clackamas-soccer-club.png
North Marion Youth Athletics,Hubbard,"PO Box 25, Hubbard, OR 97032",,,https://www.northmarionyouth.com/soccer,north-marion-youth-athletics.png
Oregon City Soccer Club,Oregon City,"PO Box 307, Oregon City, OR 97045",registrar@ocsoccerclub.org,503-631-4916,https://www.ocsoccerclub.org,oregon-city-soccer-club.png
Valley Premier FC,Boring,"PO Box 1154, Boring, OR 97009",,,http://www.valleypremierfc.org,valley-premier-fc.png
Whiskey Hill Kids Soccer Club,Canby,"PO Box 1008, Canby, OR",whksoccer91@gmail.com,,https://whksoccer.org,whiskey-hill-kids-soccer-club.png
Willamette United Football Club,West Linn,"19995 SW Stafford Rd., #C, West Linn, OR 97068",,,https://www.willametteunitedfc.com,willamette-united-football-club.png
