area,dogs,note
Canby,,
Clackamas,,
Colton Soccer,Dogs Allowed on Leashes Only,
Estacada Soccer,Dogs Allowed on Leashes Only,
Gladstone Soccer,Dogs Allowed on Leashes Only,"If you do not have a parking pass, please park in the North gravel parking lot for free. Passes are $3 for the day. If you park in any of the paved lots to the east of the fields, the city will give you a ticket without having a pass. Sorry for any inconvenience."
Lake Oswego,Dogs Allowed on Leashes Only,
Molalla Soccer,No Dogs Allowed at any fields,
North Clackamas,Dogs Allowed on Leashes Only,
North Marion,,
Oregon City,No Dogs Allowed except at Chapin Park on leashes.,
Valley Premier FC Fields,NO DOGS ALLOWED AT VENUE,
Whiskey Hill Fields,Dogs Allowed on Leashes Only,
Willamette United,,
