club,name,grades,address,map_url,notes,lat,lon
Canby United Soccer Association,Baker Prairie Middle School,5th-8th Grade,"1859 S. Township Rd., Canby","https://www.google.com/maps/place/Baker+Prairie+Middle+School/@45.2578262,-122.6704822,15z/data=!4m2!3m1!1s0x0:0xccd8d843db0e6ea0?sa=X&ved=2ahUKEwjS_9WXyPPcAhX_IjQIHWjPCBkQ_BIwDXoECAcQCw",,,
Canby United Soccer Association,Legacy Park,,"1200 SE 13th Ave., Canby","https://www.google.com/maps/place/Legacy+Park,+Canby,+OR+97013/@45.2518135,-122.6782962,14.75z/data=!4m5!3m4!1s0x0:0x4940a49b1be54850!8m2!3d45.2529025!4d-122.6815036",,,
Canby United Soccer Association,Trost Elementary,"3rd, 4th Grade","800 S. Redwood St., Canby","https://www.google.com/maps/place/Trost+Elementary+School/@45.2566196,-122.6922236,14z/data=!4m5!3m4!1s0x54956572eca62867:0x1ebc84bb66c59f49!8m2!3d45.2566154!4d-122.6747141",,,
Clackamas United Soccer Club,Happy Valley Elementary,"3rd, 4th Grade","13865 SE King Rd., Happy Valley","https://www.google.com/maps/place/Happy+Valley+Elementary+School/@45.4478264,-122.5446221,13z/data=!4m5!3m4!1s0x0:0xbb1f13da4ce12c7e!8m2!3d45.4478247!4d-122.5183578",,,
Clackamas United Soccer Club,Happy Valley Park,7th-12th Grade,"13770 SE Ridgecrest Rd., Happy Valley","https://www.google.com/maps/place/Happy+Valley+Park/@45.4405733,-122.5463103,14z/data=!4m5!3m4!1s0x0:0x1e01aa0f135c5509!8m2!3d45.4518335!4d-122.5221919",,,
Clackamas United Soccer Club,Mt Scott Elementary,"3rd, 4th Grade","11201 SE Stevens Rd., Happy Valley","https://www.google.com/maps/place/Mount+Scott+Elementary+School/@45.442567,-122.5647943,15z/data=!4m2!3m1!1s0x0:0x853e027fab56d2c2?sa=X&ved=2ahUKEwjiwZTYn7PkAhWR9Z4KHb2hANAQ_BIwCnoECA0QCA",,,
Clackamas United Soccer Club,Oregon Trail Elementary,"5th, 6th Grade","13895 SE 152nd Dr., Clackamas","https://www.google.com/maps/place/Oregon+Trail+Elementary+School/@45.4169664,-122.5402807,14z/data=!4m5!3m4!1s0x0:0x8a604284fb8a3cf7!8m2!3d45.4220869!4d-122.5078367",,,
Clackamas United Soccer Club,Pfeifer Park,"3rd, 4th, 5th, 6th Grade","14074 SE 139th Ave., Clackamas","https://www.google.com/maps/place/Pfeifer+Park/@45.4222023,-122.5567871,14z/data=!4m5!3m4!1s0x0:0x8413d88fab620b32!8m2!3d45.4203947!4d-122.5205665",,,
Clackamas United Soccer Club,Spring Mountain Elementary,7th-12th Grade,"11645 SE Masa Ln., Happy Valley","https://www.google.com/maps/place/Spring+Mountain+Elementary/@45.4212109,-122.5768063,14z/data=!4m5!3m4!1s0x0:0x3dcdd93cb328abcc!8m2!3d45.4371126!4d-122.5348351",,,
Clackamas United Soccer Club,Clackamas High School,7th-12th Grade,14486 SE 122nd Ave Clackamas,https://maps.app.goo.gl/5H17JJV7ggMSdjcf6,,,
Colton Youth Soccer,Colton Elementary School,3rd-6th Grade,"30429 S Grays Hill Road, Colton, OR 97017",https://maps.app.goo.gl/hM2PzhgKQ4QBSBVu5,,,
Colton Youth Soccer,Colton Middle School,7th/8th Grade,"21580 S Schieffer Rd, Colton, OR 97017",https://maps.app.goo.gl/zus4gYJrb84ZJkTq6,field is behind Colton Middle School,,
Estacada Youth Soccer Association,Estacada High School,"5th, 6th Grade","355 NE 6th Ave., Estacada","https://www.google.com/maps/place/Estacada+High+School/@45.3498314,-122.4882721,12z/data=!4m5!3m4!1s0x0:0x57b5b3dd09bc832d!8m2!3d45.2955106!4d-122.3315448",,,
Estacada Youth Soccer Association,River Mill Elementary,"7th, 8th Grade","850 N Broadway, Estacada","https://www.google.com/maps/place/River+Mill+Elementary+School/@45.3685388,-122.5172142,12z/data=!4m5!3m4!1s0x0:0x56dd5e12bcd9f931!8m2!3d45.2968502!4d-122.3347377",,,
Estacada Youth Soccer Association,Timber Park,"3rd, 4th Grade","30878 NW Evergreen Way, Estacada","https://www.google.com/maps/place/Timber+Park/@45.3887549,-122.483275,12z/data=!4m5!3m4!1s0x0:0x5031d858587ccbcb!8m2!3d45.2984091!4d-122.3467179",,,
Gladstone Soccer Association,Meldrum Bar Park,3rd-8th Grade,"19 Meldrum Bar Park Rd., Gladstone","https://www.google.com/maps/place/Meldrum+Bar+Park/@45.3714736,-122.615417,15z/data=!4m5!3m4!1s0x549576a9a2e326e7:0x8c9f798b1b08cef7!8m2!3d45.3770184!4d-122.615975",,,
Lake Oswego Soccer Club,George Rogers Park,"5th, 6th Grade","611 State St., Lake Oswego","https://www.google.com/maps/place/George+Rogers+Park,+Lake+Oswego,+OR+97034/@45.3963006,-122.6539183,14z/data=!4m5!3m4!1s0x54957483f923b8d9:0xf5c90510edd3fe76!8m2!3d45.412149!4d-122.662673",,,
Lake Oswego Soccer Club,Hazelia Field at Luscher Farms,7th-12th Grade,"17800 SW Stafford Rd., Lake Oswego","https://www.google.com/maps/place/Hazelia+Field+at+Luscher+Farm/@45.3944189,-122.6981455,14z/data=!4m5!3m4!1s0x0:0x2de9e8d15463eaea!8m2!3d45.3944186!4d-122.6893907",,,
Lake Oswego Soccer Club,Lakeridge Middle School,"5th, 6th Grade","7400 Jean Rd., Lake Oswego","https://www.google.com/maps/place/Lakeridge+Junior+High+School/@45.3960075,-122.7343246,14z/data=!4m5!3m4!1s0x0:0x8573ffe721f6cbcd!8m2!3d45.3960072!4d-122.7255698",,,
Lake Oswego Soccer Club,Palisades Elementary,7th-12th Grade,"1500 Greentree Rd., Lake Oswego","https://www.google.com/maps/place/Palisades+Elementary+School/@45.3871579,-122.7146301,14z/data=!4m5!3m4!1s0x0:0x72289cf0d2a4cf18!8m2!3d45.402105!4d-122.69137",,,
Lake Oswego Soccer Club,Westridge Elementary,7th-12th Grade,"3400 Royce Way, Lake Oswego","https://www.google.com/maps/place/Westridge+Elementary+School/@45.3849689,-122.7279029,14z/data=!4m5!3m4!1s0x0:0x3721afe66b04a8e7!8m2!3d45.3950348!4d-122.7120242",,,
Molalla Youth Sports,Heckard Field,3rd/4th Grade,"638 E. Main Street, Molalla, OR 97038",https://maps.app.goo.gl/NMYhtkUuCdhni2oG6,,,
Molalla Youth Sports,Clark Park,5th/6th Grade,"815 Shirley Street, Molalla, OR 97038",https://maps.app.goo.gl/VcjewKNAXSioqXW57,,,
Molalla Youth Sports,Monaz Church,7th/8th Grade,"920 Shirley Street, Molalla, OR 97038",https://maps.app.goo.gl/HSw8qQSJDaREgBzw5,,,
North Clackamas Soccer Club,Alder Creek Middle School,"5th, 6th Grade","13801 SE Webster Rd., Milwaukie",https://maps.app.goo.gl/g7K6KRpPCTeSvYVeA,"Park behind the school, walk past the baseball fields to the western end of campus.",,
North Clackamas Soccer Club,Sabin-Schellenberg Professional Center,5th-8th Grade,"14450 SE Johnson Rd., Milwaukie","https://www.google.com/maps/place/Sabin-Schellenberg+Professional+Technical+Center/@45.4185016,-122.5878751,15z/data=!4m5!3m4!1s0x549575bc4e5c0143:0xc2fa2def197d5790!8m2!3d45.4184978!4d-122.5791204",Schellenberg East and West,,
North Clackamas Soccer Club,View Acres Elementary,"5th, 6th Grade","4828 SE View Acres Rd., Milwaukie","https://www.google.com/maps/place/View+Acres+Elementary+School/@45.4077213,-122.606586,14z/data=!4m5!3m4!1s0x549574544fe3e5bb:0x96cb8a2d2653ffef!8m2!3d45.4176588!4d-122.6127658",,,
